iter	Accuracy	MultiClass
569	0.7954545455	0.5074580555
570	0.7954755892	0.5074338323
571	0.7956018519	0.5073490158
572	0.7955597643	0.5072769994
573	0.7955387205	0.5072210683
574	0.7956439394	0.5071068987
575	0.7957912458	0.5070618512
576	0.795770202	0.5070283884
577	0.7955597643	0.5069597113
578	0.7956228956	0.5068557188
579	0.7956228956	0.5068169132
580	0.7958122896	0.5067410909
581	0.7958333333	0.5067267178
582	0.7958964646	0.5066833579
583	0.7958122896	0.5066778628
584	0.796043771	0.5065377804
585	0.795959596	0.5065296353
586	0.7958964646	0.5064975335
587	0.7960648148	0.5064300167
588	0.7961069024	0.5064088091
589	0.7962121212	0.5063502465
590	0.7959806397	0.5062314061
591	0.796043771	0.5061563446
592	0.7961489899	0.5060963207
593	0.7962121212	0.5060377996
594	0.7961910774	0.5059806331
595	0.7961279461	0.5059349662
596	0.7960858586	0.5058648852
597	0.7961489899	0.5057625117
598	0.7961069024	0.5056495678
599	0.7961489899	0.5055503681
600	0.7962542088	0.5055152967
601	0.7963173401	0.505457537
602	0.796233165	0.5054406923
603	0.7962542088	0.5053369752
604	0.7962962963	0.5052497258
605	0.7962542088	0.5052020626
606	0.7962752525	0.5051566902
607	0.7963173401	0.5050883297
608	0.7963594276	0.5050627802
609	0.7963804714	0.5050191175
610	0.7964646465	0.5049427332
611	0.7966750842	0.5048577109
612	0.7965277778	0.5048257503
613	0.7966329966	0.5047705635
614	0.7966329966	0.5047406292
615	0.7965277778	0.5046184635
616	0.7966961279	0.5045499928
617	0.7968223906	0.5044574004
618	0.7968223906	0.5044295567
619	0.7968644781	0.5043588024
620	0.7968855219	0.5043324121
621	0.796969697	0.5042830394
622	0.7967382155	0.5042157856
623	0.7968434343	0.5040882145
624	0.7968644781	0.5040603156
625	0.7968223906	0.5040147184
626	0.7968855219	0.503938551
627	0.7968644781	0.5038670706
628	0.7969276094	0.5038239688
629	0.7968644781	0.5037970458
630	0.7969065657	0.5037081754
631	0.7969486532	0.5036384953
632	0.7969276094	0.5035470033
633	0.796969697	0.5034748426
634	0.796969697	0.5034288211
635	0.7969276094	0.5033917827
636	0.7970117845	0.5033385807
637	0.7970959596	0.5033039322
638	0.7970538721	0.5032741399
639	0.7971170034	0.5031731526
640	0.7971590909	0.5030939982
641	0.7971380471	0.503070478
642	0.7970959596	0.503001114
643	0.7971380471	0.502957608
644	0.797243266	0.5029130731
645	0.7973905724	0.5028681445
646	0.7973695286	0.5028318385
647	0.7974116162	0.5027968669
648	0.7974116162	0.5027741528
649	0.7974326599	0.5027352444
650	0.7973484848	0.502681393
651	0.7972643098	0.502664881
652	0.7971590909	0.5026261823
653	0.7972222222	0.5025659673
654	0.7972643098	0.5024978263
655	0.797243266	0.5024634895
656	0.797243266	0.502427865
657	0.7973905724	0.5023740245
658	0.7974326599	0.5023297327
659	0.7973905724	0.5022977754
660	0.7973695286	0.5022491771
661	0.7974326599	0.5021781561
662	0.7974957912	0.502113011
663	0.797516835	0.5020673793
664	0.7975378788	0.5020366621
665	0.7974537037	0.5020006063
666	0.7975799663	0.5019382477
667	0.7975378788	0.5018932533
668	0.7974326599	0.5018620492
669	0.7975589226	0.5017916402
670	0.7976430976	0.5016671886
671	0.797790404	0.5016061769
672	0.7977483165	0.5015860105
673	0.7977693603	0.5015018206
674	0.7978324916	0.501475158
675	0.7979166667	0.501412254
676	0.7979377104	0.5013467405
677	0.7979377104	0.5012906981
678	0.7979377104	0.5012379012
679	0.7979166667	0.5011325338
680	0.797979798	0.5010837272
681	0.7981691919	0.5010002899
682	0.7981271044	0.5009753487
683	0.7981691919	0.5008769548
684	0.7982323232	0.5007161435
685	0.7981691919	0.500653693
686	0.7982323232	0.5006350373
687	0.7982323232	0.500541359
688	0.7982112795	0.5004918
689	0.7982744108	0.50047922
690	0.7983164983	0.500466776
691	0.7982954545	0.5003963954
692	0.7982744108	0.5003634944
693	0.7981691919	0.5002500015
694	0.7981481481	0.5002248945
695	0.7981691919	0.5002143508
696	0.7981481481	0.5001868275
697	0.7980639731	0.5001604662
698	0.7981271044	0.5000844049
699	0.7983375421	0.5000049343
700	0.7981271044	0.4999111729
701	0.7981481481	0.4998850863
702	0.7981691919	0.4998654759
703	0.7981902357	0.4997996619
704	0.7982323232	0.4997650446
705	0.7982954545	0.4996902948
706	0.7981271044	0.499640348
707	0.7980850168	0.4995859644
708	0.7980639731	0.4994842941
709	0.7981060606	0.4994440182
710	0.7981481481	0.4993667509
711	0.7981481481	0.4992749135
712	0.7981691919	0.4991972523
713	0.7981481481	0.4991595226
714	0.7981060606	0.4990569287
715	0.7981691919	0.4990173691
716	0.7981271044	0.4989907982
717	0.7983585859	0.4989221525
718	0.7983585859	0.498882896
719	0.7983164983	0.4988452988
720	0.7984006734	0.4988286163
721	0.7983796296	0.4987783726
722	0.7983585859	0.4986886598
723	0.7984427609	0.4986490441
724	0.7985058923	0.4986244632
725	0.7985479798	0.4986070201
726	0.7985479798	0.4985789582
727	0.7985690236	0.4985268295
728	0.7985690236	0.4984946508
729	0.7985900673	0.4984212648
730	0.7985690236	0.4983485646
731	0.7985479798	0.4982866369
732	0.7984638047	0.4982223402
733	0.7986742424	0.4981426144
734	0.7987584175	0.4981110429
735	0.7986952862	0.4980616595
736	0.7986742424	0.4979877298
737	0.7986952862	0.497945962
738	0.7988636364	0.4978735466
739	0.7988846801	0.4978048057
740	0.7989688552	0.4976868197
741	0.798989899	0.4976732072
742	0.7988846801	0.4976270891
743	0.7989688552	0.4975156295
744	0.7989478114	0.4974547031
745	0.7990530303	0.4973312495
746	0.7990109428	0.4973209117
747	0.7990109428	0.4972689822
748	0.7990530303	0.4972394957
749	0.7991582492	0.4971794018
750	0.7993055556	0.4971371056
751	0.7992845118	0.497098984
752	0.799263468	0.4970888102
753	0.7992845118	0.4970451329
754	0.7993897306	0.4969375933
755	0.7993686869	0.4969050763
756	0.7992845118	0.4968727203
757	0.7993055556	0.4968392794
758	0.7993055556	0.4968186167
759	0.7994318182	0.4967743463
760	0.7994318182	0.4966995781
761	0.7995791246	0.4966703986
762	0.7997474747	0.4966200911
763	0.7996843434	0.4965563246
764	0.7996843434	0.4964348713
765	0.7996001684	0.4964059602
766	0.7996632997	0.4963607748
767	0.7997474747	0.4963045609
768	0.7998106061	0.4962259847
769	0.7997895623	0.496189181
770	0.7997895623	0.4961502834
771	0.7997685185	0.4961103136
772	0.7997685185	0.4960809728
773	0.7998947811	0.4959322483
774	0.7999368687	0.4959031818
775	0.7998106061	0.495876348
776	0.7997474747	0.4958088198
777	0.799726431	0.4957874084
778	0.7996422559	0.4957643095
779	0.7996001684	0.4957301611
780	0.7996001684	0.495673842
781	0.7996843434	0.4956477945
782	0.7998737374	0.4955935246
783	0.7999579125	0.4955535459
784	0.7997895623	0.4955224338
785	0.7997895623	0.4954913337
786	0.7998737374	0.4954193859
787	0.7999368687	0.4954041051
788	0.7999789562	0.4953728855
789	0.8	0.4952987483
790	0.7999368687	0.4952780309
791	0.7999579125	0.4952169511
792	0.7999579125	0.4951874186
793	0.8001052189	0.4951260573
794	0.8001473064	0.4950606046
795	0.8003367003	0.4949901722
796	0.8002525253	0.4949546025
797	0.8002525253	0.4948805904
798	0.8001683502	0.4948103577
799	0.8002525253	0.4947630051
800	0.8002525253	0.4947093262
801	0.8002946128	0.4946481478
802	0.800462963	0.494578223
803	0.8003787879	0.4945213525
804	0.8003787879	0.4944630845
805	0.8005260943	0.494404445
806	0.8004419192	0.4943371834
807	0.800547138	0.4943034357
808	0.8006102694	0.4941993096
809	0.8007996633	0.4941541729
810	0.800736532	0.4940933042
811	0.8007996633	0.4940390781
812	0.8008417508	0.4939762577
813	0.8008417508	0.4939614646
814	0.8009048822	0.4939471757
815	0.8008417508	0.4939106731
816	0.8009469697	0.4938277467
817	0.8010311448	0.4937815793
818	0.8009469697	0.4937474458
819	0.8009680135	0.4937110338
820	0.8009890572	0.493676747
821	0.8009469697	0.4936278189
822	0.8010942761	0.4935883578
823	0.8011153199	0.4935576104
824	0.8010942761	0.4935116078
825	0.8010311448	0.4934735881
826	0.801010101	0.4934184882
827	0.8010942761	0.4933564695
828	0.8010942761	0.4933502467
829	0.8011363636	0.4933296442
830	0.8010942761	0.4932543244
831	0.8010521886	0.4931788316
832	0.8011153199	0.4931419829
833	0.8010311448	0.4930756008
834	0.8011574074	0.4930348566
835	0.8010942761	0.4929781249
836	0.8010942761	0.4929125948
837	0.8010521886	0.4928316266
838	0.8011153199	0.4927717483
839	0.8010521886	0.4927352686
840	0.8011363636	0.4926893861
841	0.80128367	0.4926672357
842	0.8012626263	0.4926407584
843	0.8012626263	0.4925803684
844	0.8011994949	0.4925146153
845	0.8011363636	0.4924219795
846	0.8013257576	0.4923586546
847	0.8013257576	0.4923354673
848	0.8013257576	0.4922849584
849	0.8012626263	0.4922521419
850	0.8013257576	0.4922087536
851	0.8013047138	0.4921372139
852	0.8013888889	0.4921066672
853	0.8013888889	0.4920248622
854	0.801473064	0.4919608954
855	0.8014941077	0.4919261611
856	0.8014099327	0.4918934915
857	0.8014941077	0.4918276036
858	0.8015151515	0.4917996819
859	0.8014309764	0.491773616
860	0.8014520202	0.4917417593
861	0.8015151515	0.4917051885
862	0.8014941077	0.4916839339
863	0.8016835017	0.4916057277
864	0.8016414141	0.4915565891
865	0.8016414141	0.4915358343
866	0.8016624579	0.4915160336
867	0.8015993266	0.4914926968
868	0.8016624579	0.4914585591
869	0.8016414141	0.4914335603
870	0.8016624579	0.4913721506
871	0.8016414141	0.4913167735
872	0.8016835017	0.4912746727
873	0.8016835017	0.4912285467
874	0.801746633	0.4912082911
875	0.8018097643	0.4911588661
876	0.8018939394	0.4911245237
877	0.8018728956	0.4911106387
878	0.8019149832	0.4910053287
879	0.8019781145	0.4909585909
880	0.8020412458	0.4909137175
